,Dyad,TotalDurationFaceLog1_0s,MeanDurationFaceLog1_0s,FrequencyFace1_0s,TotalDurationMonitorLog1_0s,MeanDurationMonitorLog1_0s,FrequencyMonitor1_0s,TotalDurationKeyboardLog1_0s,MeanDurationKeyboardLog1_0s,FrequencyKeyboard1_0s,TotalDurationAroundLog1_0s,MeanDurationAroundLog1_0s,FrequencyAround1_0s,TotalDurationFaceLog1_200s,MeanDurationFaceLog1_200s,FrequencyFace1_200s,TotalDurationMonitorLog1_200s,MeanDurationMonitorLog1_200s,FrequencyMonitor1_200s,TotalDurationKeyboardLog1_200s,MeanDurationKeyboardLog1_200s,FrequencyKeyboard1_200s,TotalDurationAroundLog1_200s,MeanDurationAroundLog1_200s,FrequencyAround1_200s,TotalDurationFaceLog2_0s,MeanDurationFaceLog2_0s,FrequencyFace2_0s,TotalDurationMonitorLog2_0s,MeanDurationMonitorLog2_0s,FrequencyMonitor2_0s,TotalDurationKeyboardLog2_0s,MeanDurationKeyboardLog2_0s,FrequencyKeyboard2_0s,TotalDurationAroundLog2_0s,MeanDurationAroundLog2_0s,FrequencyAround2_0s,TotalDurationFaceLog2_200s,MeanDurationFaceLog2_200s,FrequencyFace2_200s,TotalDurationMonitorLog2_200s,MeanDurationMonitorLog2_200s,FrequencyMonitor2_200s,TotalDurationKeyboardLog2_200s,MeanDurationKeyboardLog2_200s,FrequencyKeyboard2_200s,TotalDurationAroundLog2_200s,MeanDurationAroundLog2_200s,FrequencyAround2_200s
0,1,3.6454498961866,0.7562642373501388,33,1.120591195386885,0.3459509805757567,5,2.8526314299133175,0.620387826277517,19,1.8614928072427301,0.4014165195821642,11,3.5243978154483124,0.7973959673650811,27,1.3694872428035094,0.3499859557879357,7,2.501435951739211,0.557709209664841,15,2.211930724725915,0.5174701664846592,12,4.01397772795114,1.2778426528923914,21,1.7692866133759964,0.5939405304764972,6,1.5546296759391054,0.557709209664841,5,3.6036846080507043,1.3214139011860317,13,2.8013381355257674,0.8779908067866099,11,0.8892620594862358,0.39053945789148875,3,1.6613976513648114,1.1420974006078486,2,4.341638573768593,2.1498223384416355,10
1,3,0.9932517730102834,0.24946085963158307,6,2.6198259676873707,1.036399104166537,7,1.6486586255873816,0.5306282510621705,6,1.955388893009857,0.6986873609355606,6,0.9682504708048661,0.9682504708048661,1,2.3764549415605014,0.7978825008238531,8,1.2237754316221157,0.587786664902119,3,2.803360380906535,1.1676051601550612,7,2.4849066497880004,0.6505875661411493,12,3.748719454469953,1.0901106434127892,21,1.3945931639345857,0.6986873609355606,3,3.439349147626532,0.9196185219668297,20,2.0918640616783932,0.6352532021410426,8,3.835141961092188,1.50065273589491,13,0.8329091229351039,0.5007752879124892,2,3.618099272052889,1.2782848372904874,14
2,5,3.2068032436339315,0.7310558445418431,22,2.533696813957432,0.7200546334798698,11,1.9969653198555974,0.49266165313831956,10,1.7107904066943878,0.6453565167235968,5,3.5779478934066544,1.0408344880012983,19,2.163323025660538,0.8256363636060242,6,1.9600947840472698,0.6267020811517926,7,2.0835995518284998,1.0146266325950168,4,3.322635059159053,0.9448972437856628,17,3.9982007016691985,1.3793256918037973,18,1.9506607518139112,0.6216000292678971,7,2.3608540011180215,0.7884573603642703,8,3.247787168362621,0.9344580358296041,16,3.1668805297498204,1.2601430757929906,9,1.2992829841302609,0.5108256237659906,4,3.6082115510464816,1.450122402653863,11
3,6,3.607307800420125,1.3241461433229047,13,2.0541237336955462,0.6151856390902335,8,1.0874389880699844,0.5041366356151941,3,1.2237754316221157,0.587786664902119,3,2.994064216453294,0.7196448477920471,18,2.5776883832389665,0.7448191911042662,11,1.7227665977411035,1.1939224684724346,2,1.7227665977411035,0.7654678421395714,4,3.589979505459054,1.0158343622104165,20,3.018797546484987,0.9640221346953448,12,2.641435452020226,0.8343573491114687,10,3.142714463902637,1.1036500826980669,11,3.790231948374224,1.0874389880699844,22,2.9195709125884273,0.7742150036487271,15,2.2009214392175456,0.95807226588911,5,2.641435452020226,1.0514874038177389,7
4,7,3.6644159819355617,1.0991969130635977,19,0.5877866649021191,0.5877866649021191,1,3.0985896589936988,1.0166387057084372,12,1.4816045409242156,0.5187937934151675,5,3.2108436531709366,1.0930412436186543,12,0.0,0.0,0,2.1162555148025524,0.9001613499442714,5,3.655839600035736,1.6465195873386322,9,3.4318343511240452,1.25117440581023,12,0.8614824953791601,0.5207759546191588,2,2.9923933722884763,1.7462970951512977,4,3.580737295494233,1.5846897427449065,9,3.519474122586528,1.3165571650730818,12,0.0,0.0,0,3.7168188228031775,2.0397762852874046,6,2.995732273553991,1.3121863889661687,7
5,8,2.7256718024520294,0.702625924514489,14,2.9444389791664403,0.9694005571881036,11,0.0,0.0,0,2.0014800002101243,0.5877866649021191,8,2.2192034840549946,0.5570150062353653,11,3.0106208860477417,0.9587114477581072,12,0.0,0.0,0,3.109060958860994,0.9731072069178159,13,3.728901128463422,1.1437757226801233,19,3.596398601319771,1.0531499145913523,19,2.174751721484161,1.0818051703517284,4,1.2431935174792172,1.2431935174792172,1,3.3684445951903474,1.053924808082277,15,3.513533511056407,1.1103487022932683,16,0.0,0.0,0,2.681021528714291,0.9207253289420207,9
6,12,3.572345637857985,1.0043016091968684,20,0.6061358035703156,0.6061358035703156,1,2.4538745405402715,0.724322798028395,10,1.2237754316221157,0.47000362924573563,4,3.563882963939251,1.2383742310432684,14,0.0,0.0,0,2.328902401311419,0.7693363189174917,8,0.9808292530117263,0.44183275227903923,3,4.362249007065207,2.36829480302208,8,0.6418538861723947,0.371563556432483,2,0.9295359586241757,0.5690945318899664,2,1.041453874828161,0.47692407209030935,3,4.3463994570307305,1.925931682124427,13,0.0,0.0,0,2.3948603691032164,0.8090766475670059,8,1.3437347467010947,0.5355182363563623,4
7,14,2.8233610476132047,0.6061358035703156,19,1.692552819144607,0.7458977459454743,4,2.8213788864092133,0.6051784076139881,19,1.7047480922384253,0.6418538861723947,5,2.817402738029574,0.6551805826360944,17,1.6486586255873816,0.7178397931503168,4,3.241289419705101,0.9303579890855904,16,1.8191584434161694,0.4982468415591307,8,3.68219046596314,0.8290369012525945,30,2.278975227354912,0.8119878577744643,7,3.12968024606373,0.8614824953791601,16,2.6100697927420065,0.7178397931503168,12,3.6082115510464816,0.9403468747283914,23,2.9426830524641754,0.7874467488583466,15,1.7404661748405046,0.5784842722398055,6,2.468099531471619,1.0296194171811581,6
8,15,2.772588722239781,0.8602012652231114,11,2.8114087140893633,0.8341161236851394,12,1.882006347075833,0.7482664797810249,5,2.8602943026588865,1.4570634320080977,5,2.1594842493533726,0.672093771362113,8,1.402823663071101,0.7041970167465302,3,2.6855773452501515,1.0826119473216687,7,2.995732273553991,1.3121863889661687,7,2.7343675094195836,0.6729444732424258,15,3.856510295497887,1.8155483311920697,9,2.4849066497880004,1.1631508098056809,5,2.8073926444344734,1.822755569597019,3,3.245193133185574,1.4069136483226266,8,2.120263536200091,1.2367626271489267,3,1.7805861686299298,0.9724610033412098,3,4.134099320781933,2.160925517918981,8
9,16,2.970414465569701,0.7683706017975328,16,2.6222502112988773,1.0380868682802569,7,2.5649493574615367,0.6931471805599453,12,3.258096538021482,1.0726368022648491,13,1.80280930541464,0.6121781180262782,6,2.1242555574696285,0.8010045764163588,6,2.479335604738545,0.9407510294443157,7,3.347562165829524,1.1897048325282311,12,2.910537427490759,1.074876008769279,9,1.496642418288756,1.0055218656020977,2,2.028148247292285,0.7419373447293771,6,3.2108436531709366,1.3800247481062953,8,3.5890591188317256,1.0482419292791603,19,2.3059128830867204,0.755730666861713,8,2.2442495159810822,0.6611595050665482,9,3.5600986642480112,1.1427620732810395,16
10,17,3.5825925835959795,0.7384590803530525,32,2.0835995518284998,0.3462284115665775,17,2.341805806147327,0.6176396280518002,11,0.31237468504215243,0.31237468504215243,1,3.3032169733019514,0.612566693900606,31,3.152736022363656,0.7788419016648283,19,2.3353749158170367,0.659245628884264,10,1.0761394328160512,0.39429180751003917,4,3.1412745788446492,0.7197736556752674,21,3.654115461677596,0.8319091228517707,29,3.017167554274056,0.7950642744400114,16,2.132192107065365,0.4522181968125193,13,3.46989391294839,0.7118598894920992,30,3.591817741270805,1.0500852477734492,19,2.4218485138208634,0.5820723636386804,13,1.4739999415389964,0.5148176450355282,5
