,Dyad,Duration_1_0s,Mean_1_0s,Frequency_1_0s,Duration_2_0s,Mean_2_0s,Frequency_2_0s
0,1,5.189803736898802,2.2509575740044534,21,5.68165046979875,4.305527986617594,4
1,3,4.357136085828755,1.9352306146689235,13,5.595330766428702,3.4273944326286534,9
2,5,5.054333149361975,1.912008597379632,27,5.624739267315748,3.5702366739831644,8
3,6,5.008855934196179,2.2260239718792443,18,5.400723522379426,3.352386383942373,8
4,7,5.217649463480582,2.415417623490573,18,5.61349300330874,3.8398106713142215,6
5,8,4.953476880256307,1.8911019125603181,25,5.453610250954072,2.938754838811451,13
6,12,4.941166118718423,2.0727525535290394,20,5.507632409925712,3.914287107081213,5
7,14,4.925561432849577,1.7723258214696,28,5.4503228900289065,2.445635430308791,22
8,15,5.001482422965322,2.270507434822253,17,5.627141382330993,3.7025944952959016,7
9,16,5.066385309200747,2.918371152396523,9,5.445299556896682,3.3956263366127,8
10,17,5.138344213417844,2.0512135202232815,25,5.5508902618862495,2.9610915324889784,14
11,18,4.653642839438869,1.3376055431661087,37,5.455321115357702,2.4928118292951136,21
12,19,4.8381320462396395,2.1242555574696285,17,5.381278887262384,3.2202082701019794,9
13,21,4.997662622792217,2.0006963011104517,23,5.5711395760927935,3.127247746688669,12
14,23,5.202540411154268,2.6325737716702724,14,5.60138054103812,3.677385074688201,7
15,24,4.9806341718234055,1.949277489069882,24,5.587498315123553,3.142954243306735,12
16,25,5.085330395443197,1.8215966194759894,31,5.467356658869046,3.2020687065518194,10
17,26,5.3085976759555935,3.0495889463447017,10,5.578597109233056,3.984157603187345,5
18,27,5.121182336441382,2.556858103314697,14,5.586874056410478,3.5333215345891964,8
19,28,5.0545458474378595,1.8516175137742943,29,5.491139157975858,2.974482445721946,13
20,29,5.218732887205194,2.3672880742915137,19,5.647094538359628,4.051668999052523,5
21,30,4.879260304920405,1.8984234827893254,23,5.489626194342228,3.223531636404395,10
22,31,5.072252886806163,2.0659450756424,23,5.595825999817554,3.1509538083827424,12
23,32,5.1391262271429365,2.642166045660029,13,5.6477998399052645,3.722820687541969,7
24,33,5.049214776063731,1.9398478543797675,26,5.574559248857262,3.305542698078773,10
