,Dyad,TotalDurationFaceLog1_0s,MeanDurationFaceLog1_0s,FrequencyFace1_0s,TotalDurationMonitorLog1_0s,MeanDurationMonitorLog1_0s,FrequencyMonitor1_0s,TotalDurationKeyboardLog1_0s,MeanDurationKeyboardLog1_0s,FrequencyKeyboard1_0s,TotalDurationAroundLog1_0s,MeanDurationAroundLog1_0s,FrequencyAround1_0s,TotalDurationFaceLog1_200s,MeanDurationFaceLog1_200s,FrequencyFace1_200s,TotalDurationMonitorLog1_200s,MeanDurationMonitorLog1_200s,FrequencyMonitor1_200s,TotalDurationKeyboardLog1_200s,MeanDurationKeyboardLog1_200s,FrequencyKeyboard1_200s,TotalDurationAroundLog1_200s,MeanDurationAroundLog1_200s,FrequencyAround1_200s,TotalDurationFaceLog2_0s,MeanDurationFaceLog2_0s,FrequencyFace2_0s,TotalDurationMonitorLog2_0s,MeanDurationMonitorLog2_0s,FrequencyMonitor2_0s,TotalDurationKeyboardLog2_0s,MeanDurationKeyboardLog2_0s,FrequencyKeyboard2_0s,TotalDurationAroundLog2_0s,MeanDurationAroundLog2_0s,FrequencyAround2_0s,TotalDurationFaceLog2_200s,MeanDurationFaceLog2_200s,FrequencyFace2_200s,TotalDurationMonitorLog2_200s,MeanDurationMonitorLog2_200s,FrequencyMonitor2_200s,TotalDurationKeyboardLog2_200s,MeanDurationKeyboardLog2_200s,FrequencyKeyboard2_200s,TotalDurationAroundLog2_200s,MeanDurationAroundLog2_200s,FrequencyAround2_200s
0,1,37.3,1.1303030303,33,2.066666666666667,0.41333333333333333,5,16.333333333333332,0.8596491228,19,5.433333333333334,0.4939393939333333,11,32.93333333333333,1.2197530864333332,27,2.933333333333333,0.41904761903333326,7,11.2,0.7466666666666666,15,8.133333333333333,0.6777777777666666,12,54.36666666666667,2.5888888889,21,4.866666666666666,0.8111111111000001,6,3.7333333333333334,0.7466666666666666,5,35.733333333333334,2.7487179487333333,13,15.466666666666667,1.4060606060666667,11,1.4333333333333333,0.47777777776666663,3,4.266666666666667,2.1333333333333333,2,75.83333333333333,7.583333333333333,10
1,3,1.7,0.2833333333333333,6,12.733333333333333,1.8190476190333336,7,4.2,0.7,6,6.066666666666666,1.0111111111000002,6,1.6333333333333333,1.6333333333333333,1,9.766666666666667,1.2208333333333334,8,2.4,0.8,3,15.5,2.2142857143,7,11.0,0.9166666666666666,12,41.46666666666667,1.9746031746,21,3.033333333333333,1.0111111111000002,3,30.166666666666668,1.5083333333333333,20,7.1,0.8875,8,45.3,3.4846153846666668,13,1.3,0.65,2,36.266666666666666,2.5904761904666667,14
2,5,23.7,1.0772727272666667,22,11.6,1.0545454545333333,11,6.366666666666666,0.6366666666666667,10,4.533333333333333,0.9066666666666666,5,34.8,1.8315789473666668,19,7.7,1.2833333333333334,6,6.1,0.8714285714333333,7,7.033333333333333,1.7583333333333333,4,26.733333333333334,1.5725490196,17,53.5,2.9722222222333334,18,6.033333333333333,0.8619047619,7,9.6,1.2,8,24.733333333333334,1.5458333333333334,16,22.733333333333334,2.5259259259333335,9,2.6666666666666665,0.6666666666666666,4,35.9,3.263636363633333,11
3,6,35.86666666666667,2.7589743589666664,13,6.8,0.85,8,1.9666666666666666,0.6555555555666667,3,2.4,0.8,3,18.966666666666665,1.0537037036999999,18,12.166666666666666,1.1060606060666667,11,4.6,2.3,2,4.6,1.15,4,35.233333333333334,1.7616666666666667,20,19.466666666666665,1.6222222222333333,12,13.033333333333333,1.3033333333333335,10,22.166666666666668,2.0151515151666666,11,43.266666666666666,1.9666666666666666,22,17.533333333333335,1.1688888889,15,8.033333333333333,1.6066666666666667,5,13.033333333333333,1.8619047619,7
4,7,38.03333333333333,2.001754385966666,19,0.8,0.8,1,21.166666666666668,1.7638888889,12,3.4,0.6799999999999999,5,23.8,1.9833333333333334,12,0.0,0.0,0,7.3,1.46,5,37.7,4.188888889,9,29.933333333333334,2.4944444444333334,12,1.3666666666666667,0.6833333333333333,2,18.933333333333334,4.733333333333333,4,34.9,3.8777777776666666,9,32.766666666666666,2.7305555555666667,12,0.0,0.0,0,40.13333333333333,6.688888889,6,19.0,2.7142857143,7
5,8,14.266666666666667,1.0190476190333333,14,18.0,1.6363636363666667,11,0.0,0.0,0,6.4,0.8,8,8.2,0.7454545454666667,11,19.3,1.6083333333333334,12,0.0,0.0,0,21.4,1.6461538461666665,13,40.63333333333333,2.1385964912333333,19,35.46666666666667,1.8666666666666667,19,7.8,1.95,4,2.466666666666667,2.466666666666667,1,28.033333333333335,1.8688888889,15,32.56666666666667,2.035416666666667,16,0.0,0.0,0,13.6,1.5111111111,9
6,12,34.6,1.73,20,0.8333333333333334,0.8333333333333334,1,10.633333333333333,1.0633333333333332,10,2.4,0.6,4,34.3,2.45,14,0.0,0.0,0,9.266666666666667,1.1583333333333334,8,1.6666666666666667,0.5555555555666667,3,77.43333333333334,9.679166666666667,8,0.9,0.45,2,1.5333333333333334,0.7666666666666667,2,1.8333333333333333,0.6111111110999999,3,76.2,5.861538461666667,13,0.0,0.0,0,9.966666666666667,1.2458333333333333,8,2.8333333333333335,0.7083333333333334,4
7,14,15.833333333333334,0.8333333333333334,19,4.433333333333334,1.1083333333333334,4,15.8,0.8315789473666667,19,4.5,0.9,5,15.733333333333333,0.9254901960666666,17,4.2,1.05,4,24.566666666666666,1.5354166666666667,16,5.166666666666667,0.6458333333333334,8,38.733333333333334,1.2911111111000002,30,8.766666666666667,1.2523809523666667,7,21.866666666666667,1.3666666666666667,16,12.6,1.05,12,35.9,1.5608695652333333,23,17.966666666666665,1.1977777777666667,15,4.7,0.7833333333333333,6,10.8,1.8,6
8,15,15.0,1.3636363636333333,11,15.633333333333333,1.3027777777666667,12,5.566666666666666,1.1133333333333333,5,16.466666666666665,3.2933333333333334,5,7.666666666666667,0.9583333333333334,8,3.066666666666667,1.0222222222333333,3,13.666666666666666,1.9523809523666669,7,19.0,2.7142857143,7,14.4,0.9600000000000001,15,46.3,5.144444444333333,9,11.0,2.2,5,15.566666666666666,5.188888889,3,24.666666666666668,3.0833333333333335,8,7.333333333333333,2.444444444433333,3,4.933333333333334,1.6444444444333333,3,61.43333333333333,7.679166666666666,8
9,16,18.5,1.15625,16,12.766666666666667,1.8238095238,7,12.0,1.0,12,25.0,1.9230769230666667,13,5.066666666666666,0.8444444444333334,6,7.366666666666666,1.2277777777666665,6,10.933333333333334,1.5619047619,7,27.433333333333334,2.2861111111,12,17.366666666666667,1.929629629633333,9,3.466666666666667,1.7333333333333334,2,6.6,1.1,6,23.8,2.975,8,35.2,1.8526315789333334,19,9.033333333333333,1.1291666666666667,8,8.433333333333334,0.9370370370333333,9,34.166666666666664,2.1354166666666665,16
