,Dyad,TotalDurationAround1,MeanDurationAround1,FrequencyAround1,TotalDurationMonitor1,MeanDurationMonitor1,FrequencyMonitor1,TotalDurationKeyboard1,MeanDurationKeyboard1,FrequencyKeyboard1,TotalDurationFace1,MeanDurationFace1,FrequencyFace1,TotalDurationAround2,MeanDurationAround2,FrequencyAround2,TotalDurationMonitor2,MeanDurationMonitor2,FrequencyMonitor2,TotalDurationKeyboard2,MeanDurationKeyboard2,FrequencyKeyboard2,TotalDurationFace2,MeanDurationFace2,FrequencyFace2
0,1,31.9,0.725,44,17.533333333333335,0.6493827160333333,27,41.86666666666667,0.8544217687,49,208.7,2.066336633666667,101,166.93333333333334,5.384946236666667,31,11.566666666666666,0.8261904762,14,8.233333333333333,1.0291666666666666,8,113.26666666666667,2.5742424242333333,44
1,3,146.0,2.7037037037,54,96.66666666666667,1.9727891156333333,49,25.9,1.036,25,31.433333333333334,0.8980952381,35,118.9,2.1232142857,56,139.53333333333333,2.4479532163666664,57,11.333333333333334,1.1333333333333333,10,30.233333333333334,0.9447916666666667,32
2,5,54.46666666666667,2.0172839506333333,27,37.86666666666667,1.1833333333333333,32,17.533333333333335,0.6743589743666667,26,190.13333333333333,2.837810945266667,67,60.233333333333334,2.316666666666667,26,128.73333333333332,2.798550724633333,46,16.666666666666668,0.8771929824666668,19,94.36666666666666,1.8147435897333333,52
3,6,54.233333333333334,1.0846666666666667,50,62.2,1.4136363636333333,44,14.3,1.1,13,169.26666666666668,1.9913725490333334,85,75.43333333333334,1.7960317460333335,42,60.63333333333333,1.2631944444333334,48,22.266666666666666,1.3098039215666666,17,141.66666666666666,2.0238095238,70
4,7,74.96666666666667,2.776543209866667,27,1.2666666666666666,0.6333333333333333,2,60.733333333333334,1.7352380952333333,35,163.03333333333333,2.9113095238,56,88.83333333333333,3.701388889,24,1.3666666666666667,0.6833333333333333,2,100.16666666666667,5.564814814666667,18,109.63333333333334,3.132380952366667,35
5,8,88.6,1.9688888889,45,118.4,1.879365079366667,63,0.0,0.0,0,93.0,1.6315789473666669,57,18.366666666666667,1.5305555555666668,12,122.56666666666666,2.0427777777666667,60,11.433333333333334,1.4291666666666667,8,147.63333333333333,2.5900584795333335,57
6,12,31.666666666666668,1.3768115941999999,23,1.4666666666666666,0.7333333333333333,2,43.833333333333336,1.2175925926,36,223.03333333333333,3.912865497,57,23.8,1.4,17,1.4333333333333333,0.47777777776666663,3,15.166666666666666,1.1666666666666667,13,259.6,8.1125,32
7,14,33.733333333333334,0.9921568627333333,34,17.033333333333335,0.8516666666666667,20,111.3,1.5458333333333334,72,137.93333333333334,1.6420634920666666,84,49.8,1.66,30,43.86666666666667,1.2185185185333334,36,50.833333333333336,1.2103174603333333,42,155.5,2.0460526315666665,76
8,15,86.2,3.1925925925999996,27,70.33333333333333,1.8508771929666665,38,40.36666666666667,1.6146666666666667,25,103.1,1.6109375,64,154.46666666666667,8.581481481333332,18,63.4,4.226666666666667,15,25.766666666666666,1.8404761904666667,14,56.36666666666667,1.8788888889,30
9,16,135.23333333333332,2.2920903954666665,59,46.266666666666666,1.4458333333333333,32,41.5,1.1527777777666666,36,77.0,1.2419354838666665,62,134.5,2.5865384615333338,52,25.566666666666666,1.2174603174666667,21,28.033333333333335,1.0782051282,26,111.9,1.7761904762,63
