Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
1,1,0,0,0,121,122,5,24.0,13.0,0.0,85.0,24.0,13.0,0.0,28.333333333333332,18.5,13.0,28.333333333333332,24.0,13.0,0.0,18.0,18.5,13.0,18.0,0.0,0.0,0.0,19.014614262602212,5.5,0.0,19.014614262602212,1.0,1.0,0.0,3.0,2.0,1.0,3.0,24.0,13.0,0.0,55.0,24.0,13.0,55.0,24.0,13.0,0.0,12.0,13.0,13.0,12.0,122.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,122.0,0.0,0.0,0.0,0.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,122.0
1,1,0,1,122,181,60,2,0.0,0.0,0.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0
1,1,0,2,182,205,24,3,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0
1,1,0,3,206,253,48,1,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,26.0,0.0,22.0,0.0,0.0,26.0,0.0,22.0,0.0,0.0,22.0,26.0,26.0,0.0,22.0,0.0,0.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,26.0,0.0,22.0,0.0,0.0,22.0,26.0,26.0,0.0,22.0,0.0,0.0,22.0,26.0
1,1,0,4,254,274,21,5,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,16.0,0.0,5.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,5.0,16.0,16.0,0.0,5.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,16.0,0.0,5.0,0.0,0.0,5.0,16.0,16.0,0.0,5.0,0.0,0.0,5.0,16.0
1,1,0,5,275,444,170,2,5.0,22.0,0.0,143.0,5.0,11.0,0.0,35.75,9.0,11.0,35.75,5.0,11.0,0.0,23.0,5.0,11.0,23.0,0.0,6.0,0.0,34.542546229251833,5.6568542494923806,6.0,34.542546229251833,1.0,2.0,0.0,4.0,3.0,2.0,4.0,5.0,17.0,0.0,93.0,17.0,17.0,93.0,5.0,5.0,0.0,4.0,5.0,5.0,4.0,170.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0
1,1,0,6,445,490,46,3,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0
1,1,0,7,491,611,121,5,7.0,0.0,0.0,114.0,7.0,0.0,0.0,57.0,7.0,0.0,57.0,7.0,0.0,0.0,57.0,7.0,0.0,57.0,0.0,0.0,0.0,49.0,0.0,0.0,49.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,7.0,0.0,0.0,106.0,7.0,0.0,106.0,7.0,0.0,0.0,8.0,7.0,0.0,8.0,41.0,0.0,80.0,0.0,0.0,20.5,0.0,80.0,0.0,0.0,80.0,20.5,20.5,0.0,80.0,0.0,0.0,80.0,20.5,14.5,0.0,0.0,0.0,0.0,0.0,14.5,2.0,0.0,1.0,0.0,0.0,1.0,2.0,35.0,0.0,80.0,0.0,0.0,80.0,35.0,6.0,0.0,80.0,0.0,0.0,80.0,6.0
1,1,0,8,612,1031,420,2,29.0,0.0,59.0,332.0,9.6666666666666661,0.0,14.75,41.5,12.571428571428571,14.75,97.75,6.0,0.0,12.5,14.5,11.0,12.5,72.5,6.6499791144200016,0.0,6.1796035471541373,52.704364145675832,6.8630926568367503,6.1796035471541373,82.043814513953464,3.0,0.0,4.0,8.0,7.0,4.0,4.0,19.0,0.0,25.0,163.0,25.0,25.0,232.0,4.0,0.0,9.0,3.0,4.0,9.0,14.0,420.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,420.0,0.0,0.0,0.0,0.0,0.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,420.0
1,1,0,9,1032,1150,119,3,0.0,0.0,0.0,119.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0
1,1,0,10,1151,1182,32,1,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,11.0,0.0,21.0,0.0,0.0,11.0,0.0,21.0,0.0,0.0,21.0,11.0,11.0,0.0,21.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,11.0,0.0,21.0,0.0,0.0,21.0,11.0,11.0,0.0,21.0,0.0,0.0,21.0,11.0
