Dyad,Cov,SectionStartTime,SoundID,Start,End,Duration,SoundType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min
1,1,0,0,0,181,182,1,24.0,13.0,0.0,145.0,24.0,13.0,0.0,48.333333333333336,18.5,13.0,48.333333333333336,24.0,13.0,0.0,55.0,18.5,13.0,55.0,0.0,0.0,0.0,22.543784558547888,5.5,0.0,22.543784558547888,1.0,1.0,0.0,3.0,2.0,1.0,3.0,24.0,13.0,0.0,72.0,24.0,13.0,72.0,24.0,13.0,0.0,18.0,13.0,13.0,18.0
1,1,0,1,182,205,24,3,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0
1,1,0,2,206,231,26,1,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0
1,1,0,3,232,258,27,3,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0
1,1,0,4,259,444,186,1,5.0,22.0,0.0,159.0,5.0,11.0,0.0,39.75,9.0,11.0,39.75,5.0,11.0,0.0,31.0,5.0,11.0,31.0,0.0,6.0,0.0,34.802119188348286,5.6568542494923806,6.0,34.802119188348286,1.0,2.0,0.0,4.0,3.0,2.0,4.0,5.0,17.0,0.0,93.0,17.0,17.0,93.0,5.0,5.0,0.0,4.0,5.0,5.0,4.0
1,1,0,5,445,490,46,3,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0
1,1,0,6,491,525,35,1,7.0,0.0,0.0,28.0,7.0,0.0,0.0,14.0,7.0,0.0,14.0,7.0,0.0,0.0,14.0,7.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,7.0,0.0,0.0,20.0,7.0,0.0,20.0,7.0,0.0,0.0,8.0,7.0,0.0,8.0
1,1,0,7,526,605,80,3,0.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0,0.0,0.0,80.0
1,1,0,8,606,1031,426,1,29.0,0.0,59.0,338.0,9.6666666666666661,0.0,14.75,42.25,12.571428571428571,14.75,99.25,6.0,0.0,12.5,14.5,11.0,12.5,72.5,6.6499791144200016,0.0,6.1796035471541373,52.191354648064078,6.8630926568367503,6.1796035471541373,84.502588717742839,3.0,0.0,4.0,8.0,7.0,4.0,4.0,19.0,0.0,25.0,163.0,25.0,25.0,238.0,4.0,0.0,9.0,9.0,4.0,9.0,14.0
1,1,0,9,1032,1150,119,3,0.0,0.0,0.0,119.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0
