Dyad,TotalDurationFace1_0s,MeanDurationFace1_0s,FrequencyFace1_0s,TotalDurationMonitor1_0s,MeanDurationMonitor1_0s,FrequencyMonitor1_0s,TotalDurationKeyboard1_0s,MeanDurationKeyboard1_0s,FrequencyKeyboard1_0s,TotalDurationAround1_0s,MeanDurationAround1_0s,FrequencyAround1_0s,TotalDurationFace1_200s,MeanDurationFace1_200s,FrequencyFace1_200s,TotalDurationMonitor1_200s,MeanDurationMonitor1_200s,FrequencyMonitor1_200s,TotalDurationKeyboard1_200s,MeanDurationKeyboard1_200s,FrequencyKeyboard1_200s,TotalDurationAround1_200s,MeanDurationAround1_200s,FrequencyAround1_200s,TotalDurationFace2_0s,MeanDurationFace2_0s,FrequencyFace2_0s,TotalDurationMonitor2_0s,MeanDurationMonitor2_0s,FrequencyMonitor2_0s,TotalDurationKeyboard2_0s,MeanDurationKeyboard2_0s,FrequencyKeyboard2_0s,TotalDurationAround2_0s,MeanDurationAround2_0s,FrequencyAround2_0s,TotalDurationFace2_200s,MeanDurationFace2_200s,FrequencyFace2_200s,TotalDurationMonitor2_200s,MeanDurationMonitor2_200s,FrequencyMonitor2_200s,TotalDurationKeyboard2_200s,MeanDurationKeyboard2_200s,FrequencyKeyboard2_200s,TotalDurationAround2_200s,MeanDurationAround2_200s,FrequencyAround2_200s
1,1119,33.909090909,33,62,12.4,5,490,25.789473684,19,163,14.818181818,11,988,36.592592593,27,88,12.571428571,7,336,22.4,15,244,20.333333333,12,1631,77.666666667,21,146,24.333333333,6,112,22.4,5,1072,82.461538462,13,464,42.181818182,11,43,14.333333333,3,128,64,2,2275,227.5,10
3,51,8.5,6,382,54.571428571,7,126,21,6,182,30.333333333,6,49,49,1,293,36.625,8,72,24,3,465,66.428571429,7,330,27.5,12,1244,59.238095238,21,91,30.333333333,3,905,45.25,20,213,26.625,8,1359,104.53846154,13,39,19.5,2,1088,77.714285714,14
5,711,32.318181818,22,348,31.636363636,11,191,19.1,10,136,27.2,5,1044,54.947368421,19,231,38.5,6,183,26.142857143,7,211,52.75,4,802,47.176470588,17,1605,89.166666667,18,181,25.857142857,7,288,36,8,742,46.375,16,682,75.777777778,9,80,20,4,1077,97.909090909,11
6,1076,82.769230769,13,204,25.5,8,59,19.666666667,3,72,24,3,569,31.611111111,18,365,33.181818182,11,138,69,2,138,34.5,4,1057,52.85,20,584,48.666666667,12,391,39.1,10,665,60.454545455,11,1298,59,22,526,35.066666667,15,241,48.2,5,391,55.857142857,7
7,1141,60.052631579,19,24,24,1,635,52.916666667,12,102,20.4,5,714,59.5,12,0,0,0,219,43.8,5,1131,125.66666667,9,898,74.833333333,12,41,20.5,2,568,142,4,1047,116.33333333,9,983,81.916666667,12,0,0,0,1204,200.66666667,6,570,81.428571429,7
8,428,30.571428571,14,540,49.090909091,11,0,0,0,192,24,8,246,22.363636364,11,579,48.25,12,0,0,0,642,49.384615385,13,1219,64.157894737,19,1064,56,19,234,58.5,4,74,74,1,841,56.066666667,15,977,61.0625,16,0,0,0,408,45.333333333,9
12,1038,51.9,20,25,25,1,319,31.9,10,72,18,4,1029,73.5,14,0,0,0,278,34.75,8,50,16.666666667,3,2323,290.375,8,27,13.5,2,46,23,2,55,18.333333333,3,2286,175.84615385,13,0,0,0,299,37.375,8,85,21.25,4
14,475,25,19,133,33.25,4,474,24.947368421,19,135,27,5,472,27.764705882,17,126,31.5,4,737,46.0625,16,155,19.375,8,1162,38.733333333,30,263,37.571428571,7,656,41,16,378,31.5,12,1077,46.826086957,23,539,35.933333333,15,141,23.5,6,324,54,6
15,450,40.909090909,11,469,39.083333333,12,167,33.4,5,494,98.8,5,230,28.75,8,92,30.666666667,3,410,58.571428571,7,570,81.428571429,7,432,28.8,15,1389,154.33333333,9,330,66,5,467,155.66666667,3,740,92.5,8,220,73.333333333,3,148,49.333333333,3,1843,230.375,8
16,555,34.6875,16,383,54.714285714,7,360,30,12,750,57.692307692,13,152,25.333333333,6,221,36.833333333,6,328,46.857142857,7,823,68.583333333,12,521,57.888888889,9,104,52,2,198,33,6,714,89.25,8,1056,55.578947368,19,271,33.875,8,253,28.111111111,9,1025,64.0625,16
17,1049,32.78125,32,211,12.411764706,17,282,25.636363636,11,11,11,1,786,25.35483871,31,672,35.368421053,19,280,28,10,58,14.5,4,664,31.619047619,21,1129,38.931034483,29,583,36.4375,16,223,17.153846154,13,934,31.133333333,30,1059,55.736842105,19,308,23.692307692,13,101,20.2,5
18,853,65.615384615,13,0,0,0,91,15.166666667,6,12,12,1,339,18.833333333,18,20,6.6666666667,3,196,28,7,442,36.833333333,12,919,43.761904762,21,62,15.5,4,252,31.5,8,971,51.105263158,19,749,62.416666667,12,62,62,1,61,30.5,2,1662,138.5,12
19,1161,105.54545455,11,94,31.333333333,3,75,25,3,0,0,0,592,59.2,10,0,0,0,282,56.4,5,17,17,1,1691,211.375,8,304,50.666666667,6,277,55.4,5,0,0,0,2285,457,5,82,82,1,58,29,2,77,38.5,2
21,229,28.625,8,951,95.1,10,491,49.1,10,36,12,3,387,32.25,12,387,55.285714286,7,587,73.375,8,27,13.5,2,379,27.071428571,14,1005,77.307692308,13,1289,92.071428571,14,62,62,1,354,39.333333333,9,967,87.909090909,11,804,89.333333333,9,301,60.2,5
23,216,19.636363636,11,143,35.75,4,1031,103.1,10,228,57,4,150,37.5,4,607,303.5,2,525,131.25,4,691,172.75,4,245,49,5,585,195,3,179,25.571428571,7,1666,277.66666667,6,77,38.5,2,0,0,0,791,158.2,5,1884,376.8,5
24,780,28.888888889,27,86,21.5,4,283,15.722222222,18,34,17,2,635,35.277777778,18,54,27,2,915,57.1875,16,288,28.8,10,1251,37.909090909,33,110,36.666666667,3,1381,51.148148148,27,107,21.4,5,1486,43.705882353,34,243,48.6,5,710,32.272727273,22,134,19.142857143,7
25,1025,60.294117647,17,46,15.333333333,3,377,34.272727273,11,38,19,2,726,48.4,15,491,81.833333333,6,430,47.777777778,9,8,8,1,1736,133.53846154,13,492,82,6,142,20.285714286,7,194,38.8,5,1180,84.285714286,14,931,133,7,303,50.5,6,233,58.25,4
26,639,31.95,20,747,46.6875,16,67,16.75,4,236,39.333333333,6,778,48.625,16,922,92.2,10,269,38.428571429,7,442,88.4,5,606,33.666666667,18,909,53.470588235,17,271,30.111111111,9,942,104.66666667,9,499,41.583333333,12,825,91.666666667,9,290,72.5,4,807,134.5,6
27,510,63.75,8,494,70.571428571,7,51,25.5,2,233,116.5,2,102,25.5,4,547,78.142857143,7,0,0,0,939,104.33333333,9,282,40.285714286,7,1324,165.5,8,110,55,2,801,160.2,5,279,46.5,6,695,99.285714286,7,0,0,0,1486,371.5,4
28,1110,79.285714286,14,18,18,1,49,24.5,2,50,25,2,1232,61.6,20,122,30.5,4,62,15.5,4,113,37.666666667,3,1929,128.6,15,189,47.25,4,312,26,12,32,32,1,1403,100.21428571,14,106,106,1,138,34.5,4,397,66.166666667,6
29,396,19.8,20,463,46.3,10,524,43.666666667,12,326,81.5,4,84,16.8,5,557,61.888888889,9,296,32.888888889,9,930,132.85714286,7,15,15,1,78,78,1,155,38.75,4,2486,828.66666667,3,96,32,3,321,80.25,4,331,33.1,10,2121,303,7
30,332,33.2,10,164,41,4,737,122.83333333,6,239,39.833333333,6,509,36.357142857,14,37,18.5,2,181,45.25,4,148,49.333333333,3,718,55.230769231,13,241,34.428571429,7,1068,106.8,10,517,172.33333333,3,292,41.714285714,7,155,77.5,2,849,283,3,1006,125.75,8
31,167,15.181818182,11,484,37.230769231,13,203,22.555555556,9,700,46.666666667,15,142,12.909090909,11,413,29.5,14,205,29.285714286,7,681,48.642857143,14,352,19.555555556,18,548,36.533333333,15,216,24,9,1668,92.666666667,18,581,24.208333333,24,514,36.714285714,14,122,17.428571429,7,1492,57.384615385,26
32,451,19.608695652,23,258,32.25,8,457,32.642857143,14,260,43.333333333,6,543,31.941176471,17,440,33.846153846,13,795,61.153846154,13,573,71.625,8,443,22.15,20,599,46.076923077,13,1139,47.458333333,24,601,60.1,10,261,26.1,10,688,62.545454545,11,145,29,5,1863,155.25,12
33,605,31.842105263,19,194,24.25,8,198,19.8,10,289,48.166666667,6,748,34,22,99,33,3,473,23.65,20,523,32.6875,16,571,33.588235294,17,419,59.857142857,7,810,42.631578947,19,786,65.5,12,651,36.166666667,18,305,50.833333333,6,868,45.684210526,19,719,55.307692308,13
34,236,23.6,10,177,25.285714286,7,235,21.363636364,11,247,24.7,10,306,43.714285714,7,54,27,2,363,51.857142857,7,872,96.888888889,9,1028,44.695652174,23,164,41,4,362,32.909090909,11,1146,95.5,12,796,44.222222222,18,152,30.4,5,417,34.75,12,1243,113,11
