Dyad,TotalDurationAround1,MeanDurationAround1,FrequencyAround1,TotalDurationMonitor1,MeanDurationMonitor1,FrequencyMonitor1,TotalDurationKeyboard1,MeanDurationKeyboard1,FrequencyKeyboard1,TotalDurationFace1,MeanDurationFace1,FrequencyFace1,TotalDurationAround2,MeanDurationAround2,FrequencyAround2,TotalDurationMonitor2,MeanDurationMonitor2,FrequencyMonitor2,TotalDurationKeyboard2,MeanDurationKeyboard2,FrequencyKeyboard2,TotalDurationFace2,MeanDurationFace2,FrequencyFace2
1,957,21.75,44,526,19.481481481,27,1256,25.632653061,49,6261,61.99009901,101,5008,161.5483871,31,347,24.785714286,14,247,30.875,8,3398,77.227272727,44
3,4380,81.111111111,54,2900,59.183673469,49,777,31.08,25,943,26.942857143,35,3567,63.696428571,56,4186,73.438596491,57,340,34,10,907,28.34375,32
5,1634,60.518518519,27,1136,35.5,32,526,20.230769231,26,5704,85.134328358,67,1807,69.5,26,3862,83.956521739,46,500,26.315789474,19,2831,54.442307692,52
6,1627,32.54,50,1866,42.409090909,44,429,33,13,5078,59.741176471,85,2263,53.880952381,42,1819,37.895833333,48,668,39.294117647,17,4250,60.714285714,70
7,2249,83.296296296,27,38,19,2,1822,52.057142857,35,4891,87.339285714,56,2665,111.04166667,24,41,20.5,2,3005,166.94444444,18,3289,93.971428571,35
8,2658,59.066666667,45,3552,56.380952381,63,0,0,0,2790,48.947368421,57,551,45.916666667,12,3677,61.283333333,60,343,42.875,8,4429,77.701754386,57
12,950,41.304347826,23,44,22,2,1315,36.527777778,36,6691,117.38596491,57,714,42,17,43,14.333333333,3,455,35,13,7788,243.375,32
14,1012,29.764705882,34,511,25.55,20,3339,46.375,72,4138,49.261904762,84,1494,49.8,30,1316,36.555555556,36,1525,36.30952381,42,4665,61.381578947,76
15,2586,95.777777778,27,2110,55.526315789,38,1211,48.44,25,3093,48.328125,64,4634,257.44444444,18,1902,126.8,15,773,55.214285714,14,1691,56.366666667,30
16,4057,68.762711864,59,1388,43.375,32,1245,34.583333333,36,2310,37.258064516,62,4035,77.596153846,52,767,36.523809524,21,841,32.346153846,26,3357,53.285714286,63
17,607,27.590909091,22,1867,23.3375,80,864,22.736842105,38,5662,48.393162393,117,488,19.52,25,3714,45.292682927,82,1523,29.288461538,52,3275,34.473684211,95
18,2864,69.853658537,41,323,26.916666667,12,894,28.838709677,31,4919,71.289855072,69,4948,126.87179487,39,273,27.3,10,609,38.0625,16,3170,64.693877551,49
19,535,48.636363636,11,405,50.625,8,598,39.866666667,15,7462,219.47058824,34,330,33,10,515,51.5,10,405,50.625,8,7750,352.27272727,22
